LADCD,LADNM,LADCD_ACTIVE,LADNM_ACTIVE,UTLACD,UTLANM,LIEUTENANCY_AREA_1997,LIEUTENANCY_AREA_1997_WIKIDATA
E09000013,Hammersmith and Fulham,E09000013,Hammersmith and Fulham,E09000013,Hammersmith and Fulham,Greater London,Q23306
E09000014,Haringey,E09000014,Haringey,E09000014,Haringey,Greater London,Q23306
E09000015,Harrow,E09000015,Harrow,E09000015,Harrow,Greater London,Q23306
E09000016,Havering,E09000016,Havering,E09000016,Havering,Greater London,Q23306
E09000017,Hillingdon,E09000017,Hillingdon,E09000017,Hillingdon,Greater London,Q23306
E09000018,Hounslow,E09000018,Hounslow,E09000018,Hounslow,Greater London,Q23306
E09000019,Islington,E09000019,Islington,E09000019,Islington,Greater London,Q23306
E09000020,Kensington and Chelsea,E09000020,Kensington and Chelsea,E09000020,Kensington and Chelsea,Greater London,Q23306
E09000021,Kingston upon Thames,E09000021,Kingston upon Thames,E09000021,Kingston upon Thames,Greater London,Q23306
E09000022,Lambeth,E09000022,Lambeth,E09000022,Lambeth,Greater London,Q23306
E09000023,Lewisham,E09000023,Lewisham,E09000023,Lewisham,Greater London,Q23306
E09000024,Merton,E09000024,Merton,E09000024,Merton,Greater London,Q23306
E09000025,Newham,E09000025,Newham,E09000025,Newham,Greater London,Q23306
E09000026,Redbridge,E09000026,Redbridge,E09000026,Redbridge,Greater London,Q23306
E09000027,Richmond upon Thames,E09000027,Richmond upon Thames,E09000027,Richmond upon Thames,Greater London,Q23306
E09000028,Southwark,E09000028,Southwark,E09000028,Southwark,Greater London,Q23306
E09000029,Sutton,E09000029,Sutton,E09000029,Sutton,Greater London,Q23306
E09000030,Tower Hamlets,E09000030,Tower Hamlets,E09000030,Tower Hamlets,Greater London,Q23306
E09000031,Waltham Forest,E09000031,Waltham Forest,E09000031,Waltham Forest,Greater London,Q23306
E09000032,Wandsworth,E09000032,Wandsworth,E09000032,Wandsworth,Greater London,Q23306
E09000033,Westminster,E09000033,Westminster,E09000033,Westminster,Greater London,Q23306
