wdcd,longitude,latitude
E05000892,-2.93693,53.439892
E05000893,-2.96287,53.443802
E05000894,-2.90491,53.361118
E05000895,-2.89288,53.451069
E05000896,-2.9648,53.421249
E05000897,-2.92627,53.464401
E05000898,-2.93235,53.388439
E05000899,-2.94609,53.414249
E05000900,-2.98787,53.427071
E05000901,-2.88674,53.418201
E05000902,-2.92679,53.368721
E05000903,-2.9225,53.448601
E05000904,-2.91708,53.41333
E05000905,-2.93973,53.400162
E05000906,-2.95972,53.390839
E05000907,-2.97627,53.391441
E05000908,-2.94698,53.377979
E05000909,-2.85853,53.34296
E05000910,-2.92988,53.424999
E05000911,-2.96003,53.45797
E05000912,-2.91281,53.39732
E05000913,-2.90495,53.436699
E05000914,-2.87324,53.382
E05000915,-2.88354,53.43224
E05000916,-2.69765,53.494228
E05000917,-2.70245,53.46471
E05000918,-2.70571,53.413189
E05000919,-2.65239,53.455528
E05000920,-2.78235,53.44833
E05000921,-2.65058,53.472698
E05000922,-2.72856,53.47646
E05000923,-2.61659,53.44986
E05000924,-2.69761,53.44759
E05000925,-2.77399,53.496319
E05000926,-2.76401,53.41341
E05000927,-2.70919,53.429829
E05000928,-2.74491,53.43251
E05000929,-2.73612,53.448559
E05000930,-2.76081,53.447269
E05000931,-2.75692,53.463299
E05000932,-3.05155,53.600842
E05000933,-3.01375,53.623051
E05000934,-3.04438,53.491501
E05000935,-2.9891,53.666409
E05000936,-3.02539,53.47102
E05000937,-2.98197,53.452179
E05000938,-3.02655,53.634972
E05000939,-2.99741,53.477749
E05000940,-3.06293,53.572021
E05000941,-2.98735,53.633209
E05000942,-3.01077,53.453152
E05000943,-2.99235,53.465199
E05000944,-3.01917,53.50832
E05000945,-2.96,53.669941
E05000946,-2.92211,53.49596
E05000947,-2.96991,53.475731
E05000948,-2.97235,53.642601
E05000949,-2.95741,53.519699
E05000950,-3.04355,53.560379
E05000951,-2.9716,53.49052
E05000952,-2.92725,53.512321
E05000953,-3.02426,53.485989
E05000954,-3.02587,53.352051
E05000955,-3.05609,53.401199
E05000956,-3.02213,53.38681
E05000957,-2.98203,53.34409
E05000958,-3.03154,53.32885
E05000959,-3.06994,53.386669
E05000960,-2.95838,53.318321
E05000961,-3.12413,53.36795
E05000962,-3.10693,53.326408
E05000963,-3.16098,53.390228
E05000964,-3.09611,53.409889
E05000965,-3.03937,53.419849
E05000966,-3.12428,53.400211
E05000967,-3.04502,53.433491
E05000968,-3.04838,53.379662
E05000969,-3.09621,53.35511
E05000970,-3.04926,53.36969
E05000971,-3.0132,53.373951
E05000972,-3.03551,53.410339
E05000973,-3.09186,53.383121
E05000974,-3.07049,53.42704
E05000975,-3.15534,53.364182
E05000976,-1.46945,53.553242
E05000977,-1.41053,53.575642
E05000978,-1.37076,53.53907
E05000979,-1.50977,53.583801
E05000980,-1.53733,53.578812
E05000981,-1.30624,53.54385
E05000982,-1.31709,53.524712
E05000983,-1.52656,53.547119
E05000984,-1.42616,53.503811
E05000985,-1.48952,53.548199
E05000986,-1.43558,53.58474
E05000987,-1.38004,53.583488
E05000988,-1.48375,53.563339
E05000989,-1.54557,53.523441
E05000990,-1.71799,53.520451
E05000991,-1.46432,53.497978
E05000992,-1.45459,53.598412
E05000993,-1.47309,53.57814
E05000994,-1.43504,53.541149
E05000995,-1.41351,53.520531
E05000996,-1.46068,53.52467
E05001019,-1.35651,53.421848
E05001020,-1.36718,53.399189
E05001022,-1.27308,53.41869
E05001023,-1.30094,53.36541
E05001024,-1.39726,53.482449
E05001025,-1.41961,53.448872
E05001026,-1.18638,53.41441
E05001027,-1.34515,53.459831
E05001028,-1.31441,53.381451
E05001029,-1.33667,53.437099
E05001030,-1.39325,53.431801
E05001031,-1.29041,53.456841
E05001032,-1.30933,53.403629
E05001033,-1.31226,53.48238
E05001034,-1.30781,53.432968
E05001035,-1.25206,53.334641
E05001036,-1.33688,53.49614
E05001037,-1.27089,53.426971
E05001038,-1.37454,53.451321
E05001067,-1.57183,54.888802
E05001068,-1.7098,54.95808
E05001069,-1.59702,54.96154
E05001071,-1.59307,54.925449
E05001072,-1.77906,54.957539
E05001073,-1.58717,54.94701
E05001074,-1.64982,54.955669
E05001075,-1.65847,54.943089
E05001076,-1.56952,54.95443
E05001077,-1.57448,54.93261
E05001078,-1.61689,54.90707
E05001079,-1.62656,54.94006
E05001080,-1.59874,54.936581
E05001081,-1.53809,54.953751
E05001082,-1.75443,54.971218
E05001083,-1.60825,54.94577
E05001084,-1.52908,54.94347
E05001085,-1.67966,54.95266
E05001086,-1.6952,54.92503
E05001087,-1.56068,54.937099
E05001088,-1.75187,54.93977
E05001115,-1.51588,55.011189
E05001116,-1.56484,55.016109
E05001117,-1.57108,55.043369
E05001118,-1.47353,55.007149
E05001119,-1.47893,55.023869
E05001120,-1.44712,55.030239
E05001121,-1.50633,55.002392
E05001122,-1.54841,55.028912
E05001123,-1.58403,55.021969
E05001124,-1.46558,55.04562
E05001125,-1.46533,55.035881
E05001126,-1.54639,55.004318
E05001127,-1.45683,55.015202
E05001128,-1.46019,54.999519
E05001129,-1.479,55.056938
E05001130,-1.43289,55.018688
E05001131,-1.51982,55.040058
E05001132,-1.52677,54.993328
E05001133,-1.61076,55.052662
E05001134,-1.44401,55.04113
E05001135,-1.42579,54.99992
E05001136,-1.46467,54.969101
E05001137,-1.4479,54.963131
E05001138,-1.45146,54.95026
E05001139,-1.40867,54.951988
E05001140,-1.41084,54.9692
E05001141,-1.49248,54.94418
E05001142,-1.40524,54.97625
E05001143,-1.51999,54.974758
E05001144,-1.51423,54.96423
E05001145,-1.4009,54.986542
E05001146,-1.49974,54.967628
E05001147,-1.49003,54.979401
E05001148,-1.44629,54.98024
E05001149,-1.4197,54.98745
E05001150,-1.4286,54.98011
E05001151,-1.37368,54.959419
E05001152,-1.42664,54.964161
E05001153,-1.4148,54.894581
E05001154,-1.44347,54.918571
E05001155,-1.45421,54.848728
E05001156,-1.40817,54.86058
E05001157,-1.38453,54.930779
E05001158,-1.36675,54.899479
E05001159,-1.45463,54.81855
E05001160,-1.48881,54.848122
E05001161,-1.39774,54.9062
E05001162,-1.42379,54.90617
E05001163,-1.43197,54.92894
E05001164,-1.36959,54.871529
E05001165,-1.44329,54.90107
E05001166,-1.43417,54.874359
E05001167,-1.38554,54.894321
E05001168,-1.36814,54.924969
E05001169,-1.43951,54.88488
E05001170,-1.48045,54.880379
E05001171,-1.4005,54.879002
E05001172,-1.40542,54.925919
E05001173,-1.52383,54.897629
E05001174,-1.50169,54.896118
E05001175,-1.49566,54.919258
E05001176,-1.54586,54.88781
E05001177,-1.54615,54.91605
E05001218,-1.56303,52.440399
E05001219,-1.45987,52.390511
E05001220,-1.48861,52.38673
E05001221,-1.53393,52.39312
E05001222,-1.49879,52.430592
E05001223,-1.44702,52.433392
E05001224,-1.51438,52.443138
E05001225,-1.47617,52.443111
E05001226,-1.4745,52.405312
E05001227,-1.51718,52.425491
E05001228,-1.50361,52.408791
E05001229,-1.53896,52.416939
E05001230,-1.47419,52.417591
E05001231,-1.54638,52.3778
E05001232,-1.5787,52.396191
E05001233,-1.55237,52.411518
E05001234,-1.5853,52.413799
E05001235,-1.45247,52.414539
E05001236,-2.1408,52.467449
E05001237,-2.06362,52.45298
E05001238,-2.127,52.480358
E05001239,-2.13501,52.498001
E05001240,-2.09427,52.522179
E05001241,-2.09015,52.544289
E05001242,-2.09722,52.456711
E05001243,-2.13413,52.52121
E05001244,-2.03034,52.466671
E05001245,-2.03677,52.444939
E05001246,-2.07642,52.444981
E05001247,-2.17351,52.504082
E05001248,-2.16232,52.49221
E05001249,-2.1204,52.461391
E05001250,-2.09368,52.493462
E05001251,-2.15765,52.440399
E05001252,-2.1262,52.442982
E05001253,-2.09308,52.480011
E05001254,-2.10011,52.509991
E05001255,-2.07686,52.504269
E05001256,-2.1214,52.546421
E05001257,-2.10505,52.532131
E05001258,-2.16132,52.460091
E05001259,-2.16265,52.480728
E05001260,-1.97981,52.474709
E05001261,-2.04122,52.478371
E05001262,-1.99644,52.482658
E05001263,-1.97146,52.542519
E05001264,-2.07567,52.470211
E05001265,-1.99133,52.555969
E05001266,-1.953,52.554008
E05001267,-2.04053,52.531658
E05001268,-2.01047,52.518761
E05001269,-1.99552,52.53587
E05001270,-2.02258,52.487
E05001271,-1.94833,52.537739
E05001272,-2.00103,52.470112
E05001273,-2.02457,52.507809
E05001274,-2.05623,52.54258
E05001275,-2.05444,52.49107
E05001276,-1.97816,52.500832
E05001277,-1.98114,52.48975
E05001278,-1.95563,52.492538
E05001279,-2.06334,52.524422
E05001280,-2.04719,52.503159
E05001281,-2.01867,52.559269
E05001282,-2.0232,52.541439
E05001283,-1.98415,52.520432
E05001284,-1.71931,52.43544
E05001285,-1.82363,52.381119
E05001286,-1.77687,52.507019
E05001287,-1.73178,52.481159
E05001288,-1.76757,52.37051
E05001289,-1.7671,52.438122
E05001290,-1.74945,52.48402
E05001291,-1.72643,52.381981
E05001292,-1.79466,52.445599
E05001293,-1.64822,52.39922
E05001294,-1.80707,52.434219
E05001295,-1.78196,52.40794
E05001296,-1.81673,52.412682
E05001297,-1.81747,52.39756
E05001298,-1.83905,52.409451
E05001299,-1.77916,52.42065
E05001300,-1.74633,52.502071
E05001301,-1.91902,52.599411
E05001302,-1.93068,52.630482
E05001303,-2.02679,52.579948
E05001304,-2.00392,52.60075
E05001305,-1.98379,52.601101
E05001306,-1.99492,52.625778
E05001307,-2.0195,52.621979
E05001308,-1.93965,52.649899
E05001309,-2.04361,52.565239
E05001310,-1.9522,52.572338
E05001311,-1.97788,52.567341
E05001312,-1.96939,52.62846
E05001313,-1.92086,52.564941
E05001314,-2.00488,52.579029
E05001315,-1.94833,52.611809
E05001316,-1.98235,52.584061
E05001317,-2.03609,52.600159
E05001318,-1.8929,52.57341
E05001319,-2.03765,52.612
E05001320,-2.05301,52.585098
E05001321,-2.07025,52.559471
E05001322,-2.07693,52.574322
E05001323,-2.12835,52.569199
E05001324,-2.121,52.626968
E05001325,-2.11826,52.606812
E05001326,-2.09384,52.582588
E05001327,-2.09962,52.56781
E05001328,-2.09582,52.61327
E05001329,-2.14788,52.576271
E05001330,-2.10373,52.596931
E05001331,-2.16941,52.569691
E05001332,-2.14929,52.617668
E05001333,-2.15158,52.588791
E05001334,-2.1536,52.561668
E05001335,-2.13761,52.599449
E05001336,-2.10527,52.553589
E05001337,-2.17186,52.603668
E05001338,-2.18572,52.587139
E05001339,-2.05822,52.613541
E05001340,-2.0768,52.597301
E05001341,-1.77159,53.853031
E05001342,-1.8201,53.868679
E05001343,-1.887,53.817749
E05001344,-1.74592,53.813339
E05001345,-1.73017,53.788712
E05001346,-1.71678,53.79911
E05001347,-1.76394,53.791538
E05001348,-1.8124,53.78841
E05001349,-1.9204,53.921421
E05001350,-1.72094,53.818401
E05001351,-1.79021,53.78207
E05001352,-1.79456,53.818279
E05001353,-1.72505,53.845139
E05001354,-1.82431,53.92017
E05001355,-1.91755,53.875751
E05001356,-1.87217,53.880241
E05001357,-1.93846,53.861259
E05001358,-1.76393,53.779369
E05001359,-1.77041,53.807011
E05001360,-1.83962,53.766972
E05001361,-1.7867,53.753819
E05001362,-1.79322,53.833881
E05001363,-1.84496,53.800049
E05001364,-1.795,53.805729
E05001365,-1.69367,53.76918
E05001366,-1.76825,53.904732
E05001367,-1.7701,53.766701
E05001368,-1.75436,53.82996
E05001369,-1.98794,53.83218
E05001370,-1.7614,53.748981
E05001371,-1.757,53.699181
E05001372,-2.04422,53.76215
E05001373,-1.82502,53.684711
E05001374,-1.88671,53.67823
E05001375,-1.79425,53.730122
E05001376,-1.9082,53.764839
E05001377,-1.98775,53.714481
E05001378,-1.83415,53.74374
E05001379,-1.88574,53.74015
E05001380,-1.87936,53.723148
E05001381,-1.78357,53.69265
E05001382,-1.97187,53.66441
E05001383,-1.86825,53.708229
E05001384,-1.90136,53.710388
E05001385,-2.11498,53.706329
E05001386,-1.84421,53.711288
E05001387,-1.90836,53.733238
E05001389,-1.77338,53.677139
E05001390,-1.61031,53.71516
E05001391,-1.65011,53.716461
E05001392,-1.66567,53.742699
E05001393,-1.73076,53.733719
E05001396,-1.73992,53.66367
E05001397,-1.64968,53.592628
E05001398,-1.61273,53.691608
E05001399,-1.62895,53.66526
E05001400,-1.65625,53.689709
E05001401,-1.83587,53.64399
E05001402,-1.79565,53.6548
E05001403,-1.67657,53.706001
E05001405,-1.81975,53.556881
E05001407,-1.8336,53.659012
E05001408,-1.71138,53.710049
E05001409,-1.69403,53.673649
E05001410,-1.7816,53.631931
E05001444,-1.31862,53.637119
E05001445,-1.31205,53.725712
E05001446,-1.40364,53.713779
E05001447,-1.34198,53.7206
E05001448,-1.45311,53.63789
E05001449,-1.37317,53.679321
E05001450,-1.36072,53.62067
E05001451,-1.55594,53.665749
E05001452,-1.276,53.712292
E05001453,-1.43512,53.68816
E05001454,-1.58465,53.68042
E05001455,-1.31217,53.696369
E05001456,-1.28808,53.6689
E05001457,-1.30762,53.59201
E05001458,-1.47136,53.711048
E05001459,-1.48152,53.684368
E05001460,-1.51378,53.686329
E05001461,-1.5533,53.628719
E05001462,-1.49616,53.649029
E05001463,-1.51929,53.670078
E05001464,-1.52765,53.7033
E05001527,-1.29064,54.609119
E05001528,-1.25139,54.613621
E05001529,-1.28496,54.62159
E05001530,-1.21474,54.60088
E05001531,-1.30813,54.60857
E05001532,-1.36697,54.57917
E05001533,-1.37991,54.514439
E05001534,-1.36099,54.570148
E05001535,-1.34208,54.563431
E05001536,-1.35365,54.585178
E05001537,-1.36507,54.559292
E05001538,-1.27164,54.510681
E05001539,-1.32226,54.51458
E05001540,-1.29132,54.553459
E05001541,-1.32679,54.576752
E05001542,-1.36255,54.61948
E05001543,-1.31376,54.588711
E05001544,-1.30204,54.579948
E05001545,-1.32769,54.594292
E05001546,-1.32431,54.54702
E05001547,-1.3412,54.589378
E05001548,-1.28858,54.527802
E05001549,-1.30177,54.5658
E05001550,-1.30475,54.537361
E05001551,-1.40297,54.564739
E05001552,-1.33474,54.48819
E05001577,-2.72523,53.37204
E05001578,-2.69654,53.314152
E05001579,-2.74573,53.382401
E05001580,-2.76035,53.37101
E05001581,-2.69828,53.343361
E05001582,-2.64301,53.335579
E05001583,-2.78729,53.353939
E05001584,-2.73019,53.39072
E05001585,-2.71615,53.329689
E05001586,-2.80696,53.335442
E05001587,-2.71418,53.335678
E05001588,-2.69587,53.323509
E05001589,-2.70638,53.371712
E05001590,-2.73747,53.32164
E05001591,-2.76838,53.377819
E05001592,-2.74174,53.369751
E05001593,-2.74185,53.336441
E05001594,-2.67296,53.329189
E05001595,-2.67532,53.31929
E05001596,-2.73611,53.358002
E05001597,-2.67658,53.33778
E05001643,-3.03454,53.870392
E05001644,-3.04814,53.84816
E05001645,-3.04928,53.805481
E05001646,-3.03669,53.82095
E05001647,-3.04725,53.82534
E05001648,-3.00797,53.798859
E05001649,-3.03258,53.839771
E05001650,-3.02862,53.79771
E05001651,-3.03489,53.786701
E05001652,-3.0286,53.853512
E05001653,-3.02871,53.828758
E05001654,-3.0116,53.807869
E05001655,-3.03668,53.86301
E05001656,-3.01187,53.822639
E05001657,-3.04964,53.78204
E05001658,-3.01473,53.783981
E05001659,-3.0471,53.816841
E05001660,-3.03593,53.808891
E05001661,-3.03964,53.7999
E05001662,-3.04884,53.83572
E05001663,-3.04847,53.793201
E05001687,-0.51595,53.8713
E05001688,-0.23001,54.113861
E05001689,-0.11911,54.112129
E05001690,-0.21982,54.07859
E05001691,-0.41188,53.792171
E05001692,-0.41837,53.775139
E05001693,-0.5454,53.766811
E05001694,-0.52889,54.01437
E05001695,-0.3523,54.038101
E05001696,-0.86214,53.717682
E05001697,-0.88253,53.703018
E05001698,-0.44254,53.724701
E05001699,-0.93868,53.749039
E05001700,-0.7727,53.778961
E05001701,-0.18581,53.809261
E05001702,-0.40393,53.831299
E05001703,-0.21639,53.908489
E05001704,-0.88428,53.94487
E05001705,-0.44539,53.84758
E05001706,-0.86972,53.669479
E05001707,-0.03048,53.684521
E05001708,-0.50974,53.735088
E05001709,-0.1819,53.71492
E05001710,-0.4328,53.741951
E05001711,-0.45053,53.753948
E05001712,-0.74561,53.93993
E05001713,-0.03796,53.5541
E05001714,-0.06572,53.57185
E05001715,-0.12175,53.574471
E05001716,-0.02697,53.544659
E05001717,-0.06201,53.552391
E05001718,-0.03559,53.53175
E05001719,-0.206,53.60284
E05001720,-0.08938,53.551731
E05001721,-0.09433,53.533298
E05001722,-0.04746,53.56786
E05001723,-0.10988,53.552502
E05001724,-0.1079,53.497631
E05001725,-0.09419,53.573891
E05001726,-0.15021,53.509281
E05001727,-0.12034,53.559952
E05001728,-0.63089,53.563969
E05001729,-0.83022,53.55011
E05001730,-0.7937,53.624641
E05001731,-0.84115,53.510738
E05001732,-0.44768,53.668739
E05001733,-0.6754,53.55212
E05001734,-0.46849,53.615719
E05001735,-0.5659,53.600731
E05001736,-0.67236,53.564911
E05001737,-0.71485,53.576118
E05001738,-0.61408,53.653019
E05001739,-0.65844,53.605831
E05001740,-0.32576,53.640289
E05001741,-0.62525,53.58012
E05001742,-0.65888,53.575829
E05001743,-0.57464,53.507061
E05001744,-0.62593,53.598511
E05001767,-1.4979,52.91346
E05001768,-1.49377,52.952339
E05001769,-1.4364,52.902981
E05001770,-1.47647,52.915821
E05001771,-1.50601,52.89299
E05001772,-1.43492,52.887619
E05001773,-1.43208,52.925831
E05001774,-1.44598,52.873169
E05001775,-1.48333,52.937229
E05001776,-1.45302,52.93132
E05001777,-1.52348,52.900951
E05001778,-1.51551,52.926651
E05001779,-1.53567,52.912182
E05001780,-1.48238,52.900139
E05001781,-1.43217,52.943432
E05001782,-1.47757,52.882679
E05001783,-1.41188,52.917011
E05002078,-4.14045,50.416882
E05002079,-4.12336,50.389469
E05002080,-4.17836,50.380611
E05002081,-4.13755,50.378189
E05002082,-4.1031,50.38726
E05002083,-4.12398,50.403149
E05002084,-4.16723,50.39695
E05002085,-4.1728,50.41378
E05002086,-4.10333,50.414429
E05002087,-4.14622,50.387798
E05002088,-4.03179,50.387642
E05002089,-4.06131,50.3843
E05002090,-4.06379,50.39769
E05002091,-4.06859,50.359661
E05002092,-4.10126,50.356129
E05002093,-4.18939,50.401798
E05002094,-4.15012,50.36816
E05002095,-4.12708,50.432919
E05002096,-4.1599,50.379429
E05002097,-4.12003,50.370419
E05002193,-0.41833,51.90239
E05002194,-0.43116,51.889622
E05002195,-0.4402,51.921009
E05002196,-0.46438,51.894878
E05002197,-0.39167,51.87886
E05002198,-0.44448,51.885109
E05002199,-0.43184,51.870682
E05002200,-0.41185,51.887871
E05002201,-0.42813,51.91193
E05002202,-0.47145,51.907532
E05002203,-0.49278,51.900249
E05002204,-0.44537,51.908272
E05002205,-0.45277,51.916328
E05002206,-0.40034,51.892071
E05002207,-0.44108,51.896992
E05002208,-0.41153,51.872211
E05002209,-0.39414,51.90609
E05002210,-0.47032,51.91843
E05002211,-0.3715,51.881809
E05002212,0.646845,51.55645
E05002213,0.668779,51.55505
E05002214,0.679637,51.541199
E05002215,0.650547,51.56974
E05002216,0.726199,51.537659
E05002217,0.658188,51.543388
E05002218,0.704015,51.537842
E05002219,0.69309,51.553589
E05002220,0.683975,51.564419
E05002221,0.72299,51.554211
E05002222,0.796009,51.534019
E05002223,0.753758,51.548389
E05002224,0.749513,51.532532
E05002225,0.710155,51.545311
E05002226,0.687415,51.54763
E05002227,0.636598,51.547668
E05002228,0.776842,51.53376
E05002229,0.250663,51.50642
E05002230,0.29289,51.507061
E05002231,0.37153,51.489231
E05002232,0.303813,51.494759
E05002233,0.485295,51.524261
E05002234,0.40794,51.478981
E05002235,0.315272,51.47924
E05002236,0.327735,51.482731
E05002237,0.345646,51.492962
E05002238,0.346211,51.481499
E05002239,0.299893,51.5242
E05002240,0.37547,51.529839
E05002241,0.295927,51.48634
E05002242,0.445894,51.52425
E05002243,0.43612,51.50993
E05002244,0.325955,51.50293
E05002245,0.44095,51.531269
E05002246,0.346657,51.463531
E05002247,0.3716,51.469769
E05002248,0.261596,51.47982
E05002249,0.523747,51.372181
E05002250,0.436187,51.366581
E05002251,0.558918,51.390888
E05002252,0.545106,51.381371
E05002253,0.57164,51.349628
E05002254,0.552269,51.347881
E05002255,0.538209,51.36945
E05002256,0.584013,51.447701
E05002257,0.535877,51.3522
E05002258,0.5922,51.358421
E05002259,0.609399,51.375919
E05002260,0.606883,51.347328
E05002261,0.52804,51.388809
E05002262,0.505133,51.375999
E05002263,0.51027,51.358791
E05002264,0.482768,51.372478
E05002265,0.488254,51.401299
E05002266,0.501149,51.445251
E05002267,0.475382,51.387909
E05002268,0.580744,51.375408
E05002269,0.524597,51.342701
E05002270,0.558351,51.371979
E05002271,-0.70078,51.399891
E05002272,-0.76301,51.43602
E05002273,-0.73251,51.418369
E05002274,-0.79121,51.349918
E05002275,-0.77189,51.344151
E05002276,-0.73486,51.396801
E05002277,-0.76065,51.375038
E05002278,-0.7833,51.403999
E05002279,-0.78202,51.392262
E05002280,-0.75237,51.39167
E05002281,-0.73427,51.40667
E05002282,-0.81651,51.355049
E05002283,-0.753,51.401169
E05002284,-0.75997,51.359112
E05002285,-0.75907,51.420238
E05002286,-0.73306,51.425499
E05002287,-0.75619,51.409809
E05002288,-0.67964,51.441051
E05002319,-0.96633,51.459251
E05002320,-0.993,51.460442
E05002321,-0.96386,51.467041
E05002322,-0.95308,51.432598
E05002323,-0.96884,51.444389
E05002324,-1.03171,51.467072
E05002325,-0.99724,51.477242
E05002326,-0.98738,51.443241
E05002327,-1.01589,51.455761
E05002328,-0.94025,51.45034
E05002329,-0.95819,51.483768
E05002330,-0.95413,51.448151
E05002331,-1.012,51.443169
E05002332,-0.97806,51.478039
E05002333,-1.03499,51.456921
E05002334,-0.97879,51.423431
E05002372,-0.90925,51.401161
E05002373,-0.88197,51.396221
E05002374,-0.92534,51.455891
E05002375,-0.88557,51.480991
E05002376,-0.89253,51.46122
E05002377,-0.85397,51.418911
E05002378,-0.85746,51.403679
E05002379,-0.84229,51.38102
E05002380,-0.86809,51.368431
E05002381,-0.90668,51.428822
E05002382,-0.93102,51.429031
E05002383,-0.84279,51.448898
E05002384,-0.8871,51.448921
E05002385,-0.92289,51.43829
E05002386,-0.82517,51.4189
E05002387,-0.85878,51.51421
E05002388,-0.95214,51.418159
E05002389,-0.96907,51.40324
E05002390,-0.90637,51.47179
E05002391,-0.9144,51.445938
E05002392,-0.94542,51.37698
E05002393,-0.86671,51.481831
E05002394,-0.83538,51.4007
E05002395,-0.87712,51.426319
E05002396,-0.81265,51.38802
E05002420,-0.16076,50.82584
E05002421,-0.17358,50.827961
E05002422,-0.10233,50.824692
E05002423,-0.16323,50.832878
E05002424,-0.19489,50.853001
E05002425,-0.1213,50.831791
E05002426,-0.10892,50.863281
E05002427,-0.09965,50.846329
E05002428,-0.22647,50.860981
E05002429,-0.14261,50.868839
E05002430,-0.14346,50.84042
E05002431,-0.12748,50.822739
E05002432,-0.14665,50.824242
E05002433,-0.0664,50.814121
E05002434,-0.13662,50.828609
E05002435,-0.21521,50.838089
E05002436,-0.16911,50.846352
E05002437,-0.18437,50.830582
E05002438,-0.19917,50.831188
E05002439,-0.16239,50.86132
E05002440,-0.06571,50.834221
E05002441,-1.0535,50.80719
E05002442,-1.07292,50.791031
E05002443,-1.09438,50.802818
E05002444,-1.05675,50.82238
E05002445,-1.07651,50.846619
E05002446,-1.03945,50.84148
E05002447,-1.04346,50.787338
E05002448,-1.07179,50.804428
E05002449,-1.07147,50.826962
E05002450,-1.0518,50.794121
E05002451,-1.08739,50.817139
E05002452,-1.095,50.853001
E05002453,-1.08863,50.784031
E05002454,-1.09394,50.791309
E05002455,-1.40091,50.89983
E05002456,-1.4081,50.94249
E05002457,-1.39142,50.912418
E05002458,-1.33799,50.909599
E05002459,-1.37023,50.9263
E05002460,-1.44209,50.941551
E05002461,-1.42349,50.91164
E05002462,-1.35246,50.921532
E05002463,-1.44614,50.916691
E05002464,-1.37053,50.90773
E05002465,-1.39343,50.928478
E05002466,-1.46115,50.927509
E05002467,-1.42434,50.926731
E05002468,-1.35014,50.900059
E05002469,-1.37291,50.939709
E05002470,-1.36669,50.889561
E05002630,-0.57562,51.674709
E05002631,-0.59528,51.677711
E05002632,-0.62011,51.662251
E05002633,-0.62643,51.71611
E05002634,-0.56066,51.69165
E05002635,-0.5571,51.59639
E05002636,-0.67319,51.713058
E05002637,-0.54285,51.60405
E05002638,-0.54545,51.62648
E05002639,-0.57193,51.635281
E05002640,-0.61766,51.68581
E05002641,-0.66661,51.74387
E05002642,-0.58628,51.601822
E05002643,-0.708,51.701889
E05002644,-0.5928,51.711498
E05002645,-0.68838,51.669048
E05002646,-0.56521,51.669651
E05002647,-0.66068,51.68734
E05002648,-0.595,51.719452
E05002649,-0.64752,51.636139
E05002650,-0.73757,51.69104
E05002651,-0.61811,51.722198
E05002652,-0.60761,51.699181
E05002653,-0.60315,51.622921
E05002654,-0.61058,51.72319
E05002674,-0.76133,51.62384
E05002675,-0.84739,51.69051
E05002676,-0.79637,51.618099
E05002677,-0.70497,51.57608
E05002678,-0.73317,51.633541
E05002679,-0.84076,51.62756
E05002680,-0.76083,51.64349
E05002681,-0.77972,51.65089
E05002682,-0.73091,51.591309
E05002683,-0.75245,51.670738
E05002684,-0.80444,51.583832
E05002685,-0.87212,51.59367
E05002686,-0.71587,51.654419
E05002687,-0.70639,51.649288
E05002688,-0.81857,51.74826
E05002689,-0.79751,51.70715
E05002690,-0.78134,51.570648
E05002691,-0.76474,51.572899
E05002692,-0.71138,51.626732
E05002693,-0.77786,51.629318
E05002694,-0.72675,51.61932
E05002695,-0.79817,51.63081
E05002696,-0.882,51.652241
E05002697,-0.7433,51.638802
E05002698,-0.72509,51.632671
E05002699,-0.81813,51.727379
E05002700,-0.68565,51.59124
E05002701,-0.70015,51.624538
E05002702,0.158855,52.211128
E05002703,0.115588,52.220718
E05002704,0.092664,52.216728
E05002705,0.171709,52.184761
E05002706,0.149049,52.19025
E05002707,0.151997,52.22641
E05002708,0.134762,52.22916
E05002709,0.126588,52.206108
E05002710,0.1011,52.202549
E05002711,0.138122,52.20126
E05002712,0.147746,52.176552
E05002713,0.15121,52.201672
E05002714,0.117535,52.180389
E05002715,0.127921,52.218369
E05003145,-3.21884,54.101051
E05003146,-3.21985,54.109409
E05003147,-3.20074,54.186531
E05003148,-3.18031,54.145
E05003149,-3.21145,54.145649
E05003150,-3.2361,54.1199
E05003151,-3.20081,54.12793
E05003152,-3.22861,54.138618
E05003153,-3.21809,54.120281
E05003154,-3.20566,54.113361
E05003155,-3.17288,54.097851
E05003156,-3.26096,54.120861
E05003157,-3.21679,54.06052
E05003205,-2.42992,54.771778
E05003206,-2.50159,54.572681
E05003207,-2.48642,54.582008
E05003208,-2.81831,54.56744
E05003209,-2.26661,54.531559
E05003210,-2.54964,54.54298
E05003211,-2.80806,54.647469
E05003212,-2.74637,54.634529
E05003213,-2.97358,54.662128
E05003214,-2.54621,54.708061
E05003215,-2.83418,54.782269
E05003216,-2.27725,54.472172
E05003217,-2.63186,54.642921
E05003218,-2.65982,54.80138
E05003219,-2.66136,54.718319
E05003220,-2.74376,54.748798
E05003221,-2.4156,54.645649
E05003222,-2.6549,54.585949
E05003223,-2.59539,54.42741
E05003224,-2.72479,54.662472
E05003225,-2.74211,54.66637
E05003226,-2.7523,54.694351
E05003227,-2.74058,54.656521
E05003228,-2.75436,54.654831
E05003229,-2.76784,54.661678
E05003230,-2.43325,54.438938
E05003231,-2.74832,54.496319
E05003232,-2.92057,54.752022
E05003233,-2.93445,54.557949
E05003234,-2.42606,54.561371
E05003280,-1.38752,53.098679
E05003281,-1.53945,53.043388
