wdcd,longitude,latitude
S13002720,-4.05668,55.85302
S13002721,-4.01251,55.84921
S13002722,-3.94822,55.85219
S13002723,-3.81892,55.81913
S13002724,-4.0633,55.82991
S13002725,-4.02695,55.81636
S13002726,-3.97749,55.82195
S13002727,-4.01882,55.7943
S13002728,-3.95987,55.80814
S13002729,-3.96308,55.78306
S13002730,-3.90317,55.79661
S13002731,-3.9173,55.75923
S13002738,-3.21709,56.43844
S13002739,-3.24556,56.53488
S13002740,-3.46284,56.74657
S13002741,-4.09378,56.70574
S13002742,-3.64187,56.5485
S13002743,-3.99582,56.37618
S13002744,-3.76812,56.26868
S13002745,-3.44398,56.22882
S13002746,-3.58196,56.35734
S13002747,-3.45831,56.38957
S13002748,-3.46411,56.41085
S13002749,-3.43763,56.40712
S13002750,-4.38327,55.87734
S13002751,-4.38865,55.86318
S13002752,-4.39348,55.83961
S13002753,-4.44741,55.85566
S13002754,-4.41625,55.82425
S13002755,-4.4637,55.81776
S13002756,-4.54669,55.8008
S13002757,-4.6441,55.8075
S13002758,-4.51512,55.86396
S13002759,-4.54994,55.90625
S13002760,-4.44523,55.89325
S13002779,-4.64906,55.54464
S13002780,-4.59291,55.49775
S13002781,-4.6102,55.47117
S13002782,-4.61039,55.44582
S13002783,-4.64615,55.43699
S13002784,-4.51184,55.53899
S13002785,-4.67049,55.33704
S13002786,-4.71962,55.15657
S13002787,-3.82795,55.72381
S13002788,-3.69522,55.7499
S13002789,-3.70279,55.48433
S13002790,-3.89002,55.58427
S13002791,-4.09864,55.65808
S13002792,-4.18794,55.74373
S13002793,-4.18654,55.75666
S13002794,-4.17724,55.76423
S13002795,-4.22892,55.77139
S13002796,-4.1435,55.77832
S13002797,-4.20604,55.81313
S13002798,-4.21103,55.8305
S13002799,-4.17572,55.81469
S13002800,-4.13696,55.81572
S13002801,-4.09087,55.79328
S13002802,-4.07498,55.81061
S13002803,-4.02582,55.77665
S13002804,-4.11279,55.75511
S13002805,-4.0527,55.76124
S13002806,-3.98656,55.72558
S13002807,-4.4107,56.31855
S13002808,-4.354,56.09125
S13002809,-3.92302,56.18499
S13002810,-3.95388,56.12898
S13002811,-4.02047,56.08027
S13002812,-3.91955,56.10593
S13002813,-3.86277,56.07828
S13002814,-4.56761,56.03442
S13002815,-4.52538,55.9847
S13002816,-4.5232,55.9463
S13002817,-4.4331,55.94976
S13002818,-4.40977,55.91202
S13002819,-4.43357,55.91001
S13002829,-3.02318,56.52284
S13002832,-4.12266,55.90287
S13002833,-4.20367,55.9047
S13002834,-4.14948,55.8815
W05000184,-2.97616,53.17469
W05000185,-2.994,53.15977
W05000208,-3.18695,53.21116
W05000210,-3.00373,53.14288
W05000214,-3.0393,53.11952
W05000215,-3.09553,53.14205
W05000219,-3.1366,53.17333
W05000226,-3.03847,53.15317
S13002476,-2.222,57.20009
S13002477,-2.10774,57.20061
S13002478,-2.2122,57.15856
S13002479,-2.15608,57.16437
S13002480,-2.13175,57.16536
S13002481,-2.0966,57.16699
S13002482,-2.12937,57.15196
S13002483,-2.09256,57.15088
S13002484,-2.26813,57.11194
S13002485,-2.15976,57.13914
S13002486,-2.13887,57.12863
S13002487,-2.07309,57.13652
S13002488,-2.08737,57.10744
S13002489,-2.64455,57.60333
S13002490,-2.30357,57.63127
S13002491,-1.99478,57.64321
S13002492,-2.07186,57.52327
S13002493,-1.8766,57.58373
S13002494,-1.87285,57.43942
S13002495,-2.46534,57.47646
S13002496,-2.23959,57.39601
S13002497,-2.0315,57.36435
S13002498,-2.55722,57.31279
S13002499,-2.36319,57.2744
S13002500,-2.24764,57.23842
S13002501,-2.42652,57.15781
S13002502,-2.74199,57.33951
S13002503,-3.17978,57.07965
S13002504,-2.63995,57.00715
S13002505,-2.193,57.05326
S13002506,-2.32125,57.02834
S13002507,-2.44749,56.86621
S13002508,-3.11692,56.74365
S13002509,-2.84972,56.83841
S13002510,-2.85796,56.65277
S13002512,-2.76192,56.51323
S13002513,-2.77423,56.58209
S13002514,-2.60609,56.61933
S13002515,-2.52123,56.74933
S13002527,-3.8407,56.15244
S13002528,-3.75749,56.176
S13002529,-3.76829,56.13267
S13002530,-3.79572,56.11355
S13002531,-3.67539,56.15025
S13002532,-5.10457,54.92847
S13002533,-4.82882,54.95091
S13002534,-4.51989,54.93317
S13002535,-4.15561,54.90701
S13002536,-4.1686,55.11033
S13002537,-3.71072,54.95752
S13002538,-3.63258,55.07754
S13002539,-3.84126,55.27825
S13002540,-3.54894,55.11182
S13002541,-3.52646,54.99288
S13002542,-3.3552,55.02153
S13002543,-3.4281,55.24105
S13002544,-3.10576,55.16366
E05000064,0.164272,51.4571991
E05000065,0.149278,51.48699951
E05000066,0.090901,51.44520187
E05000067,0.118562,51.44549942
E05000068,0.141874,51.4695015
E05000069,0.142132,51.45619965
E05000070,0.168954,51.47090149
E05000071,0.182962,51.45429993
E05000072,0.13119701,51.42269897000001
E05000073,0.118768,51.45650101
E05000074,0.097468,51.46789932
E05000075,0.169598,51.48870087
E05000076,0.092262,51.45800018
E05000077,0.132596,51.48320007
E05000078,0.093306,51.42819977
E05000079,0.19715101,51.4701004
E05000080,0.15346,51.4754982
E05000081,0.14377099,51.43870163
E05000082,0.11802,51.47140121
E05000083,0.102077,51.43759918
E05000084,0.13660599,51.50090027
E05000146,-0.0817,51.38130188
E05000147,-0.05633,51.38439941
E05000148,-0.10593,51.39609909
E05000149,-0.11467,51.38010025
E05000150,-0.12194,51.30459976
E05000151,-0.13978,51.32410049
E05000152,-0.08788,51.35570145
E05000153,-0.08554,51.37229919
E05000154,-0.01792,51.35369873
E05000155,-0.03951,51.35359955
E05000156,-0.10612,51.3185997
E05000157,-0.01253,51.34109879
E05000158,-0.11905,51.41049957000001
E05000159,-0.13281,51.33980179
E05000160,-0.07899,51.33069992
E05000161,-0.09033,51.39049911
E05000162,-0.05892,51.34339905
E05000163,-0.04022,51.37810135
E05000164,-0.07678,51.40380096
E05000165,-0.09658,51.40299988
E05000166,-0.09693,51.41590118
E05000167,-0.1111,51.36100006
E05000168,-0.11887,51.39369965
E05000169,-0.06637,51.39310074
E05000495,0.110278,51.5909996
E05000496,0.068181,51.58209991
E05000497,0.047948,51.60850143
E05000498,0.1233,51.57460022
E05000499,0.022095,51.59840012
E05000500,0.053548,51.58409882
E05000501,0.081742,51.5564003
E05000502,0.061341,51.56940079
E05000503,0.083122,51.59889984
E05000504,0.06787,51.59370041
E05000505,0.110287,51.5591011
E05000506,0.121436,51.61040115
E05000507,0.074065,51.54800034
E05000508,0.097006,51.55390167
E05000509,0.024649,51.61520004
E05000510,0.085502,51.5719986
E05000511,0.039185,51.59379959
E05000512,0.112992,51.57289886
E05000513,0.022648,51.58060074
E05000514,0.070657,51.56389999
E05000515,0.03388,51.57030106000001
E05000534,-0.08513,51.47510147
E05000535,-0.0957,51.47679901
E05000536,-0.09974,51.50230026
E05000537,-0.0898,51.49959946
E05000538,-0.07805,51.43159866
E05000539,-0.07383,51.45500183
E05000540,-0.08018,51.48830032
E05000541,-0.08797,51.48429871
E05000542,-0.0782,51.49499893
E05000543,-0.06301,51.48239899
E05000544,-0.10112,51.48709869
E05000545,-0.05448,51.47029877
E05000546,-0.07334,51.47829819
E05000547,-0.05438,51.45569992
E05000548,-0.06805,51.49950027
E05000549,-0.05116,51.49689865
E05000550,-0.06683,51.48949814
E05000551,-0.08164,51.46469879
E05000552,-0.04009,51.50009918
E05000553,-0.06712,51.46780014
E05000554,-0.08839,51.45100021
E05000687,-2.18778992,53.48659897
E05000688,-2.21477008,53.46649933
E05000689,-2.28456998,53.38869858
E05000690,-2.19475007,53.47909927
E05000691,-2.29035997,53.40409851
E05000692,-2.20602012,53.42900085
E05000693,-2.19175005,53.5257988
E05000694,-2.23652005,53.50059891
E05000695,-2.28552008,53.44060135
E05000696,-2.26356006,53.4292984
E05000697,-2.24341989,53.479599
E05000698,-2.23607993,53.51910019
E05000699,-2.22873998,53.41400146
E05000700,-2.24587989,53.41730118
E05000701,-2.2349,53.44530106000001
E05000702,-2.17385006,53.46440125
E05000703,-2.17734003,53.45320129
E05000704,-2.20707011,53.50859833
E05000705,-2.23741007,53.53319931
E05000706,-2.24804997,53.46680069
E05000707,-2.19421005,53.44079971
E05000708,-2.19684005,53.45429993
E05000709,-2.18747997,53.49679947
E05000710,-2.24415994,53.45539856
E05000711,-2.18304992,53.51330185
E05000712,-2.26065993,53.40250015
E05000713,-2.23358989,53.43479919
E05000714,-2.21205997,53.45100021
E05000715,-2.25555992,53.38489914
E05000716,-2.25876999,53.44869995
E05000717,-2.21901011,53.43489838
E05000718,-2.27566004,53.36750031
E05001089,-1.68104994,54.97430038
E05001090,-1.66365004,54.99129868
E05001091,-1.57964003,54.97370148
E05001092,-1.66909003,55.05899811
E05001093,-1.58126998,55.00249863
E05001094,-1.70433998,54.99119949
E05001095,-1.60941994,55.00699997
E05001096,-1.64261997,54.96730042
E05001097,-1.64708996,55.01490021
E05001098,-1.67897999,54.9856987
E05001099,-1.64868999,54.99810028
E05001100,-1.71756995,54.97940063
E05001101,-1.74967003,54.99570084
E05001102,-1.57819998,54.99330139
E05001103,-1.60472,54.99300003
E05001104,-1.59749997,54.97740173
E05001105,-1.61579001,55.02550125
E05001106,-1.57582998,54.9836998
E05001107,-1.60109997,54.98300171
E05001108,-1.55062997,54.96879959
E05001109,-1.54727006,54.98419952
E05001110,-1.71060002,55.00149918
E05001111,-1.62120998,54.97320175
E05001112,-1.62941003,55.00419998
E05001113,-1.62976003,54.98429871
E05001114,-1.70931005,55.01959991
E05001178,-1.82816005,52.44229889
E05001179,-1.89749002,52.5007019
E05001180,-1.98862004,52.43239975
E05001181,-1.87106001,52.41740036
E05001182,-1.83758998,52.47449875
E05001183,-1.93438995,52.42399979
E05001184,-1.89751005,52.41730118
E05001185,-1.92230999,52.46310043
E05001186,-1.83693004,52.52590179
E05001187,-1.84213996,52.42720032
E05001188,-1.93675005,52.51919937
E05001189,-1.96019995,52.46440125
E05001190,-1.82404995,52.49919891
E05001191,-1.93745995,52.40110016
E05001192,-1.86776996,52.54370117
E05001193,-1.91904998,52.48020172
E05001194,-2.00472999,52.39659882
E05001195,-1.92199004,52.50849915
E05001196,-1.89085996,52.44100189
E05001197,-1.86626995,52.49819946
E05001198,-1.96817994,52.4034996
E05001199,-1.89634001,52.54399872
E05001200,-1.90634,52.5265007
E05001201,-1.99484003,52.46009827
E05001202,-1.93324995,52.43970108
E05001203,-1.77724004,52.48939896
E05001204,-1.78558004,52.46459961
E05001205,-1.93795002,52.49399948
E05001206,-1.83269,52.46229935
E05001207,-1.88226998,52.45940018
E05001208,-1.85558999,52.44839859
E05001209,-1.80009997,52.47880173
E05001210,-1.85659003,52.52090073
E05001211,-1.83389997,52.58940125
E05001212,-1.79031003,52.53710175000001
E05001213,-1.80294001,52.56729889
E05001214,-1.84255004,52.55139923
E05001215,-1.79718006,52.51839828
E05001216,-1.84066999,52.4905014
E05001217,-1.97180998,52.4280014
E05001411,-1.60687006,53.88150024
E05001412,-1.54170001,53.86650085
E05001413,-1.54454994,53.72510147
E05001414,-1.60897005,53.80289841
E05001415,-1.56710994,53.77470016
E05001416,-1.63791001,53.81700134
E05001417,-1.50169003,53.79199982
E05001418,-1.67815995,53.81719971
E05001419,-1.54087996,53.8219986
E05001420,-1.52991998,53.78160095
E05001421,-1.43904996,53.81299973
E05001422,-1.61097002,53.78369904
E05001423,-1.41366005,53.77050018
E05001424,-1.50382996,53.81140137
E05001425,-1.73625004,53.87319946
E05001426,-1.43178999,53.86970139
E05001427,-1.57356,53.81610107
E05001428,-1.66288996,53.8423996
E05001429,-1.55476999,53.81000137
E05001430,-1.47362995,53.81930161
E05001431,-1.33932996,53.76580048
E05001432,-1.60294998,53.82130051
