LSOACD,latitude,longitude,lsoa11cd
95AA01S1,54.65503786587065,-6.218372776284823,95AA01S1
95AA01S2,54.63317657512067,-6.318015175521959,95AA01S2
95AA01S3,54.68073811437392,-6.195478537217559,95AA01S3
95AA02W1,54.70663807899643,-6.2377504384735385,95AA02W1
95AA03W1,54.70628991096624,-6.184375183938832,95AA03W1
95AA04W1,54.64575994850747,-6.099091903936892,95AA04W1
95AA05W1,54.70787516095306,-6.357123492728338,95AA05W1
95AA06S1,54.60563126161744,-6.244335542827513,95AA06S1
95AA06S2,54.62093773543285,-6.228142670673329,95AA06S2
95AA07W1,54.77241368429582,-6.355728327072929,95AA07W1
95AA08W1,54.7217969515823,-6.179230754655921,95AA08W1
95AA09W1,54.71502629023068,-6.204077717113074,95AA09W1
95AA10W1,54.710417394935135,-6.190442954091019,95AA10W1
95AA11S1,54.710477548573245,-6.210487572392719,95AA11S1
95AA11S2,54.73187320234959,-6.229498409646154,95AA11S2
95AA12W1,54.75667564315636,-6.122812983775859,95AA12W1
95AA13S1,54.72921212420242,-6.281625435035755,95AA13S1
95AA13S2,54.754239373527085,-6.309778067624158,95AA13S2
95AA14W1,54.76941924579518,-6.2350676556003615,95AA14W1
95AA15S1,54.72940415312837,-6.207681139675759,95AA15S1
95AA15S2,54.73648306113562,-6.206201914785794,95AA15S2
95AA16W1,54.72235812426268,-6.201937440245412,95AA16W1
95AA17W1,54.71690158236169,-6.194133305372274,95AA17W1
95AA18W1,54.70346304194271,-6.102870530226086,95AA18W1
95AA19W1,54.72422650247996,-6.438746154937821,95AA19W1
95BB01S1,54.48838288835517,-5.793210039424814,95BB01S1
95BB01S2,54.50580188714675,-5.791293468479267,95BB01S2
95BB02W1,54.58230241122909,-5.742872055093563,95BB02W1
95BB03S1,54.541534237145584,-5.497789556918566,95BB03S1
95BB03S2,54.52043229637584,-5.518216116878992,95BB03S2
95BB04S1,54.5942995465763,-5.713546459831577,95BB04S1
95BB04S2,54.60737437166929,-5.738894616234852,95BB04S2
95BB05S1,54.566521058610846,-5.595101869058648,95BB05S1
95BB05S2,54.575495438765856,-5.530255278624034,95BB05S2
95BB06W1,54.58681438780382,-5.6925823425999305,95BB06W1
95BB07S1,54.54948420773503,-5.740755580474046,95BB07S1
95BB07S2,54.55002904761752,-5.715764209178848,95BB07S2
95BB08S1,54.55439246825525,-5.740247789717115,95BB08S1
95BB08S2,54.56324300644982,-5.740022282186627,95BB08S2
95BB09S1,54.5608226139881,-5.775390100250201,95BB09S1
95BB09S2,54.55004139156209,-5.771807170508562,95BB09S2
95BB10S1,54.64281443540874,-5.545187179047848,95BB10S1
95BB10S2,54.6478461463095,-5.578280497690837,95BB10S2
95BB11S1,54.63416927321832,-5.551460417707573,95BB11S1
95BB11S2,54.63708857996259,-5.5346995135849815,95BB11S2
95BB12S1,54.599355441239375,-5.699081557688853,95BB12S1
95BB12S2,54.61344275594207,-5.709398417077997,95BB12S2
95BB13S1,54.58261808731263,-5.666353212715326,95BB13S1
95BB13S2,54.59005405600216,-5.680193613615192,95BB13S2
95BB13S3,54.59254744236732,-5.67427735109754,95BB13S3
95BB14S1,54.48530127104894,-5.713238926418312,95BB14S1
95BB14S2,54.47084712762426,-5.67336912466231,95BB14S2
95BB15S1,54.4307935718278,-5.520499407637873,95BB15S1
95BB15S2,54.48574469724669,-5.51983509013832,95BB15S2
95BB16S1,54.523527865552666,-5.778951510584988,95BB16S1
95BB16S2,54.521102892323775,-5.716085978604287,95BB16S2
95BB17S1,54.598106274347785,-5.663002169624118,95BB17S1
95BB17S2,54.60520221311805,-5.631474315198643,95BB17S2
95BB18S1,54.60231342317989,-5.535342491458141,95BB18S1
95BB18S2,54.61601898069467,-5.565792129244317,95BB18S2
95BB19S1,54.59765015259618,-5.680161560181659,95BB19S1
